reg_date,n_p,manu_p,sale_p,cold_p,"cold,pack,f_p",cold_c,n_manu_p,n_sale_p,n_cold_p,"n_cold,pack,f_p","n_cold,f_p","n_manu_cold,pack,f_p","n_manu_cold,f_p",n_sale_cold_p,"n_sale_cold,f,h_p",chile_sale_cold_p,aus_sale_cold_p,"n_manu_cold,pack,f_p",chile_sale_cold_p,aus_sale_cold_c,sale_cold_p,sale_cold_c,oil_p,month_mean,p_price
2016-07-04,16.48579152,13.23088776,14.97051473,10.55020199,27.13595237,4,13.23088776,18.1132434,12.4153466,27.13595237,15.14313624,0,13.69172393,12.06064161,16.66183107,0,0,0,0,0,9.810252124,3,45.77,14.63846877,14.53560799
2016-07-11,17.13110462,13.73134647,16.29740963,12.34814164,26.99557881,4,13.73134647,18.83098369,13.46602177,26.99557881,15.81119362,0,13.76539206,13.23474266,17.23661812,0,0,0,0,0,11.8984219,3,42.84,14.63846877,15.65589384
2016-07-18,16.98693557,13.50378343,15.63676659,11.36448268,27.15969805,4,13.50378343,18.72851165,13.2756889,27.15969805,15.51494183,0,13.54471255,13.08852351,17.18065393,0,0,0,0,0,10.66502548,3,43.18,14.63846877,15.1035208
2016-07-25,16.42932863,13.40319844,16.14423361,11.36593952,27.00142119,3,13.40319844,17.94239373,12.57311271,27.00142119,15.25978423,0,14.07420261,12.41403115,15.90875674,0,0,0,0,0,10.68281214,2,42.59,14.63846877,15.36108071
2016-08-01,15.5403171,12.80875553,14.6601006,10.8725159,26.86308165,4,12.80875553,16.90609789,11.57692577,26.86308165,14.39668663,0,13.64612051,11.18246099,14.43159616,11.15438596,0,0,1,0,10.50622435,3,38.92,14.40944084,14.19726433
2016-08-08,15.42566252,12.50161583,14.6092176,10.59915448,26.920006,4,12.50161583,16.88768587,11.1460279,26.920006,14.51276631,0,13.7902071,11.07903124,14.31638073,0,0,0,0,0,10.39453113,3,41.62,14.40944084,14.08231716
2016-08-15,15.73743328,12.81030337,15.53716111,10.73024524,26.9453359,3,12.81030337,17.20099824,11.65446155,26.9453359,14.72478789,0,14.12761415,11.81593052,14.7207649,0,0,0,0,0,10.34887157,2,43.27,14.40944084,14.7580589
2016-08-22,15.76867299,12.83592743,14.57242791,10.57583146,27.09641704,4,12.83592743,17.23504578,11.90447075,27.09641704,14.45445807,0,13.64477051,11.78185716,14.79776329,0,0,0,0,0,10.09208049,3,43.81,14.40944084,14.13830279
2016-08-29,15.69545586,12.84282085,17.12177337,11.58927898,26.97594212,2,12.84282085,17.12177337,11.58927898,26.97594212,14.34831003,0,14.09750041,11.59041667,15.32161506,0,0,0,0,0,11.59041667,1,43.74,14.40944084,15.69545586
2016-09-05,15.32475367,12.41241013,16.78092544,10.68969816,27.08348794,2,12.41241013,16.78092544,10.68969816,27.08348794,14.67529586,0,14.36534209,10.91991815,14.13504605,0,0,0,0,0,10.91991815,1,43.17,14.18596372,15.32475367
2016-09-12,11.49347691,10.89696597,12.08998786,10.03264891,0,2,10.89696597,12.08998786,10.03264891,0,12.95430492,0,12.08730399,10.35866987,0,0,0,0,0,0,10.35866987,1,44.89,14.18596372,11.49347691
2016-09-19,14.33569094,11.17671591,13.7010903,9.486757364,26.77820131,4,11.17671591,15.91517846,9.700600736,26.77820131,13.05577935,0,12.77735067,9.825120318,13.72318418,0,0,0,0,0,9.456982768,3,43.01,14.18596372,13.06999671
2016-09-26,14.65823186,11.66244301,14.62322833,9.666520114,26.92152212,3,11.66244301,16.15612629,10.25396193,26.92152212,13.2599726,0,13.05916065,10.24219848,14,0,0,0,0,0,9.366917486,2,43.4,14.18596372,13.77728967
2016-10-03,15.42039833,12.61997721,15.51171615,10.92898393,26.93174128,3,12.61997721,16.8206089,11.25540331,26.93174128,14.1033891,0,13.90689716,11.17774936,14.87306392,0,0,0,0,0,10.72694727,2,48.01,14.18298344,14.68550503
2016-10-10,16.8871829,16.72895539,14.93354216,11.22410824,27.12534819,4,16.72895539,16.96629666,11.58018331,27.12534819,18.1645963,0,21.69050944,11.39296529,14.70819001,0,0,0,0,0,11.04301054,3,49.93,14.18298344,15.38239547
2016-10-17,15.6821405,13.06553549,14.62026644,10.85869543,27.12092372,4,13.06553549,16.99044301,11.83747755,27.12092372,14.23556981,0,14.18755792,11.73144205,14.82582456,0,0,0,0,0,10.49708955,3,49.08,14.18298344,14.2315837
2016-10-24,15.63115902,13.00424667,14.70283907,10.90218403,27.0546634,4,13.00424667,16.94461519,11.58508122,27.0546634,14.08106413,0,14.29807439,11.45974349,15.4,0,0,0,0,0,10.63277239,3,49.19,14.18298344,14.27819097
2016-10-31,15.62001283,12.73365621,14.3004788,10.03967483,27.05292069,4,12.73365621,17.06319113,11.30429553,27.05292069,13.99902938,0,14.17675552,11.31803415,16.06050645,0,0,0,0,0,9.622714143,3,44.92,14.18298344,13.90877315
2016-11-07,15.2001678,12.61713145,15.19631681,10.69611891,24.78933085,3,12.61713145,16.49168597,11.03675827,24.78933085,14.25885416,0,14.28445741,11.12371104,15.8204511,0,0,0,0,0,10.56927561,2,43.04,13.75146674,14.45940671
