REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE
2015-12-28,수산물,아르헨티나,아르헨티나,판매용,갑각류,새우,아르헨티나붉은새우,냉동,7.48 
2015-12-28,수산물,바레인,바레인,판매용,갑각류,게,꽃게,냉동,2.92 
2015-12-28,수산물,바레인,바레인,판매용,갑각류,게,꽃게,"냉동,절단",3.36 
2015-12-28,수산물,칠레,칠레,판매용,패류 멍게류,해삼,해삼,"건조,자숙",18.26 
2015-12-28,수산물,중국,중국,판매용,어류,서대 박대 페루다,서대,냉동,4.79 
2015-12-28,수산물,중국,중국,판매용,어류,복어,은밀복,냉동,2.17 
2015-12-28,수산물,중국,중국,판매용,어류,옥돔,옥돔,냉동,5.15 
2015-12-28,수산물,중국,중국,판매용,어류,복어,까치복,냉동,4.27 
2015-12-28,수산물,중국,중국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",7.20 
2015-12-28,수산물,중국,중국,판매용,갑각류,새우,흰다리새우,"냉동,살",6.97 
2015-12-28,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,"냉장,살",4.70 
2015-12-28,수산물,중국,중국,판매용,패류 멍게류,바지락,바지락,"염장,살",2.70 
2015-12-28,수산물,중국,중국,판매용,패류 멍게류,가리비,가리비,"냉동,한쪽껍질붙은",5.75 
2015-12-28,수산물,중국,중국,판매용,패류 멍게류,조개,개조개,"냉동,살",1.33 
2015-12-28,수산물,중국,중국,판매용,연체류 해물모듬,문어,문어,냉동,4.77 
2015-12-28,수산물,중국,중국,판매용,연체류 해물모듬,쭈꾸미,주꾸미,활,4.00 
2015-12-28,수산물,중국,중국,판매용,패류 멍게류,멍게,멍게,활,6.40 
2015-12-28,수산물,프랑스,스페인,판매용,어류,참치 새치류 ,대서양참다랑어,냉장,28.87 
2015-12-28,수산물,프랑스,프랑스,판매용,어류,메로,파타고니아이빨고기,"냉동,목살",10.36 
2015-12-28,수산물,인도네시아,인도네시아,판매용,연체류 해물모듬,낙지,낙지,냉동,4.39 
2015-12-28,수산물,인도네시아,인도네시아,판매용,연체류 해물모듬,쭈꾸미,주꾸미,냉동,4.00 
2015-12-28,수산물,일본,일본,판매용,어류,참치 새치류 ,눈다랑어,"냉동,목살,횟감",5.45 
2015-12-28,수산물,일본,일본,판매용,어류,가오리,가오리,냉장,1.71 
2015-12-28,수산물,대한민국,북한,판매용,젓갈류 해조류 해파리,미역,미역,염장,0.91 
2015-12-28,수산물,모로코,모로코,판매용,어류,장어,뱀장어,활,12.60 
2015-12-28,수산물,멕시코,멕시코,판매용,어류,참치 새치류 ,참다랑어,냉장,15.91 
2015-12-28,수산물,말레이시아,말레이시아,판매용,연체류 해물모듬,낙지,낙지,냉동,4.47 
2015-12-28,수산물,노르웨이,노르웨이,판매용,어류,연어,대서양연어,냉동,6.20 
