REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE
2015-12-28,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F)",12.94
2015-12-28,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,포장횟감,필렛(F)",19.15
2015-12-28,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F),횟감",12.08
2015-12-28,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,"냉장,필렛(F)",13.43
2015-12-28,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,8.84
2016-01-04,수산물,캐나다,캐나다,판매용,어류,연어,연어,냉장,9.2
2016-01-04,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.97
2016-01-04,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F)",12.74
2016-01-04,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,포장횟감,필렛(F)",18.58
2016-01-04,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F),횟감",13.56
2016-01-04,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,"냉장,필렛(F)",13.76
2016-01-04,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,9.52
2016-01-11,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F)",13.88
2016-01-11,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F),횟감",14.05
2016-01-11,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.85
2016-01-11,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,포장횟감,필렛(F)",14.6
2016-01-11,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,"냉장,필렛(F)",16.51
2016-01-11,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,9.37
2016-01-18,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,냉장,8.22
2016-01-18,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F)",14.33
2016-01-18,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,포장횟감,필렛(F)",18.55
2016-01-18,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,"냉장,필렛(F),횟감",13.97
2016-01-18,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,"냉장,필렛(F)",15.23
2016-01-18,수산물,노르웨이,노르웨이,판매용,어류,연어,연어,냉장,10.02
2016-01-25,수산물,노르웨이,노르웨이,자사제품제조용,어류,연어,연어,"냉장,필렛(F),횟감",9.41
