REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE
2015-12-28,수산물,대만,대만,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.99
2015-12-28,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.79
2015-12-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.23
2015-12-28,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.48
2015-12-28,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.97
2015-12-28,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.76
2015-12-28,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.96
2016-01-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.95
2016-01-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.6
2016-01-04,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.72
2016-01-04,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.03
2016-01-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.68
2016-01-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.23
2016-01-04,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.07
2016-01-04,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.02
2016-01-11,수산물,칠레,칠레,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.71
2016-01-11,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.93
2016-01-11,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.74
2016-01-11,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.15
2016-01-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.8
2016-01-11,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.94
2016-01-11,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.15
2016-01-18,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.01
2016-01-18,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,슬라이스(S)",1.75
2016-01-18,수산물,대만,대만,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.95
2016-01-18,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.76
2016-01-18,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.2
2016-01-18,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.33
2016-01-18,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.72
2016-01-18,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.96
2016-01-18,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.21
2016-01-18,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.86
2016-01-25,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.94
2016-01-25,수산물,칠레,일본,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.5
2016-01-25,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.6
2016-01-25,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.79
2016-01-25,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.06
2016-01-25,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.22
2016-02-01,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,슬라이스(S),포장횟감",10.15
2016-02-01,수산물,대한민국,중국,판매용,연체류 해물모듬,오징어,오징어,냉동,1.7
2016-02-01,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.25
2016-02-01,수산물,대만,대만,판매용,연체류 해물모듬,오징어,오징어,냉동,1.85
2016-02-01,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.75
2016-02-01,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.86
2016-02-01,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.48
2016-02-01,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.11
2016-02-01,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.01
2016-02-01,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.09
2016-02-01,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.39
2016-02-15,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1
2016-02-15,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.65
2016-02-15,수산물,칠레,칠레,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.85
2016-02-15,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",2.97
2016-02-15,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.64
2016-02-15,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.62
2016-02-15,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.99
2016-02-22,수산물,아르헨티나,아르헨티나,외화획득용 원료,연체류 해물모듬,오징어,오징어,"냉동,다리",3.1
2016-02-22,수산물,칠레,일본,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.52
2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리,자숙",2.4
2016-02-22,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.7
2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.21
2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.72
2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미,자숙",1.4
2016-02-22,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.1
2016-02-22,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.14
2016-02-22,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.94
2016-02-22,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.7
2016-02-29,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.66
2016-02-29,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.7
2016-02-29,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.59
2016-02-29,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",0.81
2016-02-29,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1.12
2016-02-29,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.68
2016-03-07,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",1
2016-03-07,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.56
2016-03-07,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.44
2016-03-07,수산물,중국,중국,외화획득용 원료,연체류 해물모듬,오징어,오징어,냉동,1.07
2016-03-07,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미,자숙",1.2
2016-03-07,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.68
2016-03-07,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.25
2016-03-14,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.67
2016-03-14,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.54
2016-03-14,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",5.75
2016-03-14,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.43
2016-03-14,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.99
2016-03-21,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,다리",1.6
2016-03-21,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",2.88
2016-03-21,수산물,중국,중국,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.67
2016-03-21,수산물,페루,페루,자사제품제조용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",3.26
2016-03-21,수산물,페루,페루,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체,자숙",4.3
2016-03-21,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,동체",0.98
2016-03-21,수산물,칠레,칠레,판매용,연체류 해물모듬,오징어,오징어,"냉동,지느러미",0.68
