REG_DATE,원달러환율,두바이유
2015-12-28,1171,34.58
2016-01-04,1172,32.1
2016-01-11,1196.2,27.86
2016-01-18,1211,26.35
2016-01-25,1203.2,26.38
2016-02-01,1206.2,29.95
2016-02-08,1202.7,30.07
2016-02-15,1206.5,28.94
2016-02-22,1233.9,29.56
2016-02-29,1235.4,29.3
2016-03-07,1208.5,35.37
2016-03-14,1200.1,34.51
2016-03-21,1161.3,35.68
2016-03-28,1169.4,35.22
2016-04-04,1148.9,34.05
2016-04-11,1156.5,37.73
2016-04-18,1150.7,37.94
2016-04-25,1141.1,38.63
2016-05-02,1138.1,42.45
2016-05-09,1153.5,40.97
2016-05-16,1169.4,44.27
2016-05-23,1188.4,44.16
2016-05-30,1179.3,44.31
2016-06-06,1189.6,46.54
2016-06-13,1163.1,46.93
2016-06-20,1170.8,46.69
2016-06-27,1168.5,46.03
2016-07-04,1147.5,45.77
2016-07-11,1159.2,42.84
2016-07-18,1132.7,43.18
2016-07-25,1135,42.59
2016-08-01,1122.4,38.92
2016-08-08,1111.3,41.62
2016-08-15,1098.6,43.27
2016-08-22,1115.2,43.81
2016-08-29,1113.9,43.74
2016-09-05,1117.6,43.17
2016-09-12,1099.5,44.89
2016-09-19,1112.3,43.01
2016-09-26,1104.2,43.4
2016-10-03,1096.3,48.01
2016-10-10,1115.7,49.93
2016-10-17,1132.9,49.08
2016-10-24,1134.5,49.19
2016-10-31,1145.2,44.92
2016-11-07,1143.4,43.04
2016-11-14,1164.4,42.33
2016-11-21,1182.3,44.15
2016-11-28,1178.9,44.02
2016-12-05,1170.5,51.51
2016-12-12,1166.2,52.26
2016-12-19,1183.4,51.81
2016-12-26,1202.9,51.96
2017-01-01,1208.5,52.1
2017-01-06,1191.6,54.82
2017-01-16,1177.7,53.72
2017-01-23,1172.5,53.64
2017-01-30,1166.2,53.74
2017-02-06,1146.8,54.25
2017-02-13,1151.4,54.03
2017-02-20,1145.3,54.22
2017-02-27,1131,54.43
2017-03-06,1152.7,54.32
2017-03-13,1158.2,51.35
2017-03-20,1131.4,51.32
2017-03-27,1122.7,51.01
2017-04-03,1119.3,51.35
2017-04-10,1134.6,53.83
2017-04-17,1138.8,53.43
2017-04-24,1136.6,52.31
2017-05-01,1130.1,50.69
2017-05-08,1132.1,48.54
2017-05-15,1126.8,50.04
2017-05-22,1127.5,50.93
2017-05-29,1119.5,50.59
2017-06-05,1120.9,48.25
2017-06-12,1121.6,47.48
2017-06-19,1133,46.55
2017-06-26,1140.1,46.25
2017-07-03,1144,48.54
2017-07-10,1155.8,46.03
2017-07-17,1136,46.98
2017-07-24,1121.2,47.11
2017-07-31,1119.1,47.57
2017-08-07,1125.4,51
2017-08-14,1146.3,49.85
2017-08-21,1142,50.09
2017-08-28,1129.2,50.24
2017-09-04,1122.7,51.49
2017-09-11,1126.8,52.35
2017-09-18,1133.5,53.25
2017-09-25,1136.3,53.92
2017-10-02,1146.7,54.72
2017-10-09,1146.7,54.1
