REG_DATE,P_TYPE,CTRY_1,CTRY_2,P_PURPOSE,CATEGORY_1,CATEGORY_2,P_NAME,P_IMPORT_TYPE,P_PRICE
2015-12-28,수산물,중국,중국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",7.2
2015-12-28,수산물,중국,중국,판매용,갑각류,새우,흰다리새우,"냉동,살",6.97
2015-12-28,수산물,페루,페루,판매용,갑각류,새우,흰다리새우,냉동,6.1
2015-12-28,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",13.38
2015-12-28,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살",15.05
2015-12-28,수산물,사우디아라비아,사우디아라비아,판매용,갑각류,새우,흰다리새우,냉동,6.02
2015-12-28,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙,포장횟감",19.65
2015-12-28,수산물,에콰도르,에콰도르,판매용,갑각류,새우,흰다리새우,냉동,8.28
2015-12-28,수산물,말레이시아,말레이시아,판매용,갑각류,새우,흰다리새우,냉동,6.17
2015-12-28,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,포장횟감",12.9
2015-12-28,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,냉장,9.13
2015-12-28,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙,포장횟감",15.68
2015-12-28,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,냉동,6.48
2015-12-28,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",7.42
2015-12-28,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살",8.4
2016-01-04,수산물,중국,중국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",8.2
2016-01-04,수산물,인도,인도,판매용,갑각류,새우,흰다리새우,냉동,9.06
2016-01-04,수산물,말레이시아,말레이시아,판매용,갑각류,새우,흰다리새우,냉동,7.19
2016-01-04,수산물,사우디아라비아,사우디아라비아,판매용,갑각류,새우,흰다리새우,냉동,5.7
2016-01-04,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,포장횟감",10.86
2016-01-04,수산물,베트남,베트남,자사제품제조용,갑각류,새우,흰다리새우,"냉동,살",8.26
2016-01-04,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",14.59
2016-01-04,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살",16.36
2016-01-04,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,냉장,9.38
2016-01-04,수산물,에콰도르,에콰도르,판매용,갑각류,새우,흰다리새우,냉동,8.5
2016-01-04,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,냉동,7.45
2016-01-04,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",7.52
2016-01-04,수산물,베트남,베트남,판매용,갑각류,새우,흰다리새우,"냉동,살",7.56
2016-01-11,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,냉동,7.78
2016-01-11,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙",12.78
2016-01-11,수산물,태국,태국,판매용,갑각류,새우,흰다리새우,"냉동,살,자숙,포장횟감",20.42
