REG_DATE,"º£Æ®³² ³Ãµ¿,»ì","ÅÂ±¹ ³Ãµ¿,»ì,ÀÚ¼÷","º£Æ®³² ³Ãµ¿,»ì,Æ÷ÀåÈ½°¨","º£Æ®³² ³Ãµ¿,»ì,ÀÚ¼÷",ÁÖº° ³Ãµ¿ ÃÑÇÕ,"ÁÖº° ³Ãµ¿,ÀÚ¼÷ ÃÑÇÕ","ÁÖº° ³Ãµ¿,»ì ÃÑÇÕ","ÁÖº° ³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨ ÃÑÇÕ",³Ãµ¿C,"³Ãµ¿,ÀÚ¼÷C","³Ãµ¿,»ìC","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨C",,,,,WEEKCOUNT,MONTH,MONTH_MEAN,P_PRICE
2015-12-28,8.4,13.38,12.9,7.42,33.05,7.97,22.02,35.33,5,0,3,2,,,,,13,12,10.21404633,10.19230769
2016-01-04,7.56,14.59,10.86,7.52,28.84,7.97,16.36,35.22,4,0,2,0,,,,,9,1,9.947144603,9.525555556
2016-01-11,8.12,12.78,13.62,8.03,21.28,7.97,22.57,35.11,3,0,3,2,,,,,11,1,9.947144603,11.04636364
2016-01-18,8.44,12.32,11.7,7.4,20.83,7.97,21.11,15.95,3,1,3,1,,,,,11,1,9.947144603,9.610909091
2016-01-25,8.08,12.08,9.67,8.03,27.85,7.64,36.99,35.33,4,1,5,2,,,,,15,1,9.947144603,9.711333333
2016-02-01,7.66,12.34,10.25,7.77,27.94,7.75,7.11,18.17,4,0,2,1,,,,,9,2,9.891867962,8.766666667
2016-02-08,8.14,12.6,10.995,8.57,15.1,7.86,13.585,16.16,2,0,1,1,,,,,6,2,9.891867962,9.8275
2016-02-15,8.05,12.86,11.74,7.88,29.56,7.97,20.06,35.86,4,1,3,2,,,,,12,2,9.891867962,10.09333333
2016-02-22,7.82,13.12,11.915,7.54,23.33,8,17.15,18.89,3,0,1,1,,,,,6,2,9.891867962,9.596666667
2016-02-29,8.58,13.38,12.09,8.71,14.28,8.03,14.24,20.45,2,0,2,1,,,,,7,2,9.891867962,11.19285714
2016-03-07,8.08,13.63,11.265,7.69,21.73,8.06,21,16.18,3,0,3,1,,,,,9,3,10.25212756,9.812222222
