REG_DATE,냉동,"냉동,다리","냉동,동체","냉동,동체,자숙","냉동,지느러미","대만,뉴질랜드,러시아,냉동c","미국,인도네시아,에콰도르,우루과이,에콰도르,베트남,스페인,냉동c","아르헨티나,냉동c","중국,냉동c","중국,인도네시아,냉동,다리c","중국,냉동,동체c","중국,칠레,냉동,동체,자숙c","중국,인도네시아,러시아,냉동,지느러미c","칠레,페루,냉동c","칠레,냉동,다리c","칠레,냉동,동체c","칠레,냉동,지느러미c","캐나다,냉동c","페루,냉동,다리c","페루,냉동,동체c","페루,냉동,동체,자숙c","페루,냉동,지느러미c",,,,,,,두바이유,MONTH,MONTH_MEAN,CTRY_DIF,P_PRICE
2015-12-28,0,1.1,1.246666667,5.48,0.76,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,,,,,,,34.58,12,2.744095862,0,1.74
2016-01-04,0,1.016666667,1.02,4.475,0.64,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,,,,,,,32.1,1,2.677691226,0,1.7875
2016-01-11,0,1.04,1.045,3.74,0.755,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,1,0,,,,,,,27.86,1,2.677691226,0,1.345714286
2016-01-18,0,1.14,0.89,4.095,0.72,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,2,0,,,,,,,26.35,1,2.677691226,0,1.675
2016-01-25,0,1.06,0.94,5.005,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,,,,,,,26.38,1,2.677691226,1,2.522
2016-02-01,1.775,1.18,1.745,3.78,0.75,1,0,0,1,0,1,1,0,0,0,1,1,0,2,0,2,0,,,,,,,29.95,2,2.913185476,1,2.149
2016-02-15,1.59875,1,1.98,4.13,0.75,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,2,0,,,,,,,28.94,2,2.913185476,0,2.102857143
2016-02-22,1.4225,1.816666667,0.94,3.9,0.71,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,,,,,,,29.56,2,2.913185476,1,1.89
2016-02-29,1.24625,0.81,1.12,3.983333333,0.68,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,,,,,,,29.3,2,2.913185476,0,2.426666667
2016-03-07,1.07,1.25,1,4.06,0.56,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,,,,,,,35.37,3,2.811885022,0,1.885714286
