REG_DATE,º£Æ®³²,ÅÂ±¹,Æä·ç,ÅÂ±¹C,Æä·çC,"³Ãµ¿,»ì","³Ãµ¿,»ì,ÀÚ¼÷","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨C",³Ãµ¿_Æä·ç,"³Ãµ¿,»ì_º£Æ®³²","³Ãµ¿,»ì,ÀÚ¼÷_ÅÂ±¹","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_º£Æ®³²","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_ÅÂ±¹",³Ãµ¿_Æä·çC,"³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_º£Æ®³²C","³Ãµ¿,»ì,ÀÚ¼÷,Æ÷ÀåÈ½°¨_ÅÂ±¹C",P_PRICE
2016-07-04,10.15,22.5,0,1,0,8.12,7.69,19.345,2,0,8.12,0,16.19,22.5,0,1,1,10.98875
2016-07-11,11.288,10.65,0,3,0,8.8575,10.105,16.34,1,0,8.71,11.85,16.34,0,0,1,0,9.633846154
2016-07-18,10.128,14.57666667,0,3,0,10.3,10.02,18.265,2,0,8.49,12,16.91,19.62,0,1,1,10.946
2016-07-25,10.866,11.82,0,2,0,9.3975,9.505,18.28,1,0,8.73,10.98,18.28,0,0,1,0,9.624166667
2016-08-01,11.068,12.465,0,2,0,11.5,10.09,15.27,1,0,12.76,12.69,15.27,0,0,1,0,10.427
2016-08-08,10.156,13.22666667,0,3,0,8.71,8.11,18,2,0,8.75,0,15.8,20.2,0,1,1,9.973333333
2016-08-15,10.628,11.495,0,2,0,9.96,10.06,16.73,1,0,8.61,11.68,16.73,0,0,1,0,10.22888889
2016-08-22,8.7725,15.54333333,0,3,0,9.866666667,10.515,20.27,1,0,8.43,13.16,0,20.27,0,0,1,10.519
2016-08-29,10.472,10.465,0,2,0,9.453333333,8.18,16.43,1,0,8.47,0,16.43,0,0,1,0,9.574
2016-09-05,10.882,12.46,0,2,0,9.3775,10.195,16.01,1,0,8.8,12.02,16.01,0,0,1,0,9.690833333
2016-09-12,8.5025,14.18,0,2,0,7.5,8.89,20.34,1,0,7.5,0,0,20.34,0,0,1,9.684285714
2016-09-19,10.752,20.815,8.02,1,1,7.77,8.19,18.9075,2,8.02,8.6,0,17,20.815,1,1,1,10.16954545
2016-09-26,10.82,15.07666667,0,3,0,9.86,10.39,18.935,2,0,8.53,12.75,16.58,21.29,0,1,1,11.516
2016-10-03,9.655,12.5,0,2,0,9.503333333,10.73,0,0,0,9,12.69,0,0,0,0,0,9.144
2016-10-10,10.27,11.2825,0,4,0,8.32,10.12,15.95,2,0,8.69,12.29,16.05,15.85,0,1,1,9.380666667
2016-10-17,10.236,13.7425,0,2,0,7.82,7.85,18.0125,2,0,8.32,0,16.44,19.585,0,1,1,9.943181818
2016-10-24,11.03,10.63,0,3,0,8.8125,10.21,19.18,1,0,8.59,12.49,19.18,0,0,1,0,9.46
2016-10-31,10.79,7.96,0,1,0,8.79,7.73,17.47,1,0,10.16,0,17.47,0,0,1,0,9.425555556
2016-11-07,10.474,16.50666667,0,3,0,9.893333333,11.03,19.67,2,0,9.07,13.14,16.02,23.32,0,1,1,10.91461538
2016-11-14,10.906,11.45666667,0,3,0,10.01666667,10.68,15.89,1,0,9.09,13.31,15.89,0,0,1,0,10.526
2016-11-21,10.874,12.64666667,0,3,0,9.536666667,8.29,17.265,2,0,8.87,0,17.19,17.34,0,1,1,10.10166667
2016-11-28,10.69,16.5,0,3,0,9.556666667,10.36,20.47,2,0,9.09,13.15,16.64,24.3,0,1,1,11.884
2016-12-05,10.4725,14.06333333,0,3,0,9.5475,8.72,19.965,2,0,8.59,0,17.21,22.72,0,1,1,10.70909091
2016-12-12,11.216,14.0375,0,4,0,10.03666667,10.755,19.575,2,0,8.97,12.61,16.96,22.19,0,1,1,10.82642857
2016-12-19,10.02,14.0025,0,4,0,10.975,10.35,19.06,2,0,9,12.95,16.93,21.19,0,1,1,10.8625
2016-12-26,10.648,12.815,0,2,0,9.58,10.77,16.9,1,0,8.79,13.19,16.9,0,0,1,0,10.04083333
2017-01-01,10.1075,0,0,0,0,7.92,7.55,16.47,1,0,8.42,0,16.47,0,0,1,0,8.818571429
2017-01-06,11.072,14.2,0,2,0,9.115,8.6,19.305,2,0,8.64,0,18.42,20.19,0,1,1,10.29857143
2017-01-16,10.8275,13.55,0,1,0,9.41,7.82,0,0,0,9.34,0,0,0,0,0,0,9.476
2017-01-23,11.21,0,0,0,0,8.38,7.78,18.11,1,0,9.37,0,18.11,0,0,1,0,10.20571429
2017-01-30,10.68,12.385,0,4,0,9.606666667,10.355,16.895,2,0,8.95,12.37,17.32,16.47,0,1,1,10.4225
2017-02-06,10.656,10.675,0,2,0,9.836666667,8.63,18.84,1,0,8.79,0,18.84,0,0,1,0,9.713
2017-02-13,11,12.86333333,0,3,0,9.73,8.12,17.74,2,0,9.26,0,17.83,17.65,0,1,1,10.504
2017-02-20,12.12666667,16.61,0,2,0,9.403333333,8.64,21.675,2,0,9.4,0,18.34,25.01,0,1,1,11.50277778
2017-02-27,8.7,13.33,0,2,0,9.79,10.74,0,0,0,8.95,13.75,0,0,0,0,0,9.36
2017-03-06,10.956,14.8675,0,4,0,10.83,11.305,21.735,2,0,9.02,13.84,18.57,24.9,0,1,1,11.76
2017-03-13,10.232,14.47333333,0,3,0,9.0325,11.39,17.62,2,0,9.25,13.87,17.49,17.75,0,1,1,10.47833333
2017-03-20,11.232,14.21,0,4,0,10.4475,11.55,19.32,2,0,9.25,14.45,18.32,20.32,0,1,1,10.93785714
2017-03-27,11.07,14.0975,0,4,0,11.6,11.555,18.09,2,0,9.97,13.32,14.58,21.6,0,1,1,11.07166667
2017-04-03,10.886,12.74333333,0,3,0,9.763333333,8.56,17.615,2,0,9.18,0,18.13,17.1,0,1,1,10.54272727
2017-04-10,11.31,14.73333333,7.02,3,1,10.14666667,11.085,17.835,2,7.02,9.67,13.8,18.12,17.55,1,1,1,10.95666667
2017-04-17,11.476,12.915,0,4,0,11.49,11.465,16.79,2,0,8.89,13.94,18.28,15.3,0,1,1,11.07625
2017-04-24,10.91333333,15.29666667,0,3,0,9.953333333,10.025,18.865,2,0,9.51,12.66,17.42,20.31,0,1,1,11.54727273
2017-05-01,11.46,0,0,0,0,9.15,8.19,19.26,1,0,9.15,0,19.26,0,0,1,0,10.78
2017-05-08,9.4825,14.0525,7.19,4,1,10.22,11.13,20.23,1,7.19,9.26,13.26,0,20.23,1,0,1,10.33076923
2017-05-15,11.874,14.395,0,2,0,9.58,9.2,18.91,2,0,9.58,0,18.12,19.7,0,1,1,11.55222222
2017-05-22,10.46,15.335,0,4,0,10.18333333,11.315,22.655,2,0,9.48,13.22,18.51,26.8,0,1,1,11.36153846
2017-05-29,10.816,13.9,0,4,0,9.925,11.465,18.47,2,0,9.28,14.12,17.8,19.14,0,1,1,10.59785714
2017-06-05,11.71,14.585,0,4,0,10.45333333,11.03,20.49,2,0,9.21,13.56,18.08,22.9,0,1,1,11.18384615
2017-06-12,11.062,14.5475,6.6,4,1,10.17333333,11.86,19.355,2,6.6,9.48,14.64,17.48,21.23,1,1,1,11.06923077
2017-06-19,10.904,13.5225,0,4,0,10.06333333,11.09,18.865,2,0,8.84,13.65,18.16,19.57,0,1,1,11.02166667
2017-06-26,10.636,13.84333333,7.99,3,1,9.876666667,8.78,18.94,2,7.99,9.14,0,17.9,19.98,1,1,1,10.31769231
2017-07-03,10.786,13.7975,0,4,0,9.615,10.78,18.625,2,0,9.1,12.81,18.31,18.94,0,1,1,10.57857143
2017-07-10,9.2475,12.8525,0,4,0,10.16333333,11.04,15.92,1,0,9.15,13.33,0,15.92,0,0,1,10.06181818
2017-07-17,11.174,14.52,7.7,3,1,9.376666667,11.735,17.33,2,7.7,8.8,14.55,16.43,18.23,1,1,1,10.91083333
2017-07-24,10.846,14.80333333,0,3,0,9.983333333,11.48,17.955,2,0,9.29,13.98,17.39,18.52,0,1,1,11.637
2017-07-31,11.704,14.01,0,3,0,10.18,8.42,19.495,2,0,9.24,0,19.16,19.83,0,1,1,11.18909091
2017-08-07,10.44833333,12.78,0,4,0,9.4275,10.615,19.07,2,0,9.39,13.1,18.84,19.3,0,1,1,10.39785714
2017-08-14,10.766,17.885,0,2,0,11.01,8.77,20.065,2,0,8.63,0,17.75,22.38,0,1,1,11.23
2017-08-21,10.62333333,13.76333333,7.23,3,1,9.8,8.41,18.63,2,7.23,9.44,0,18.27,18.99,1,1,1,10.21714286
2017-08-28,9.1675,13.96,0,3,0,10.035,8.48,21.11,1,0,9.08,0,0,21.11,0,0,1,9.866666667
2017-09-04,11.472,13.3225,0,4,0,9.866666667,11.065,18.515,2,0,9.08,13.18,18.41,18.62,0,1,1,10.79615385
2017-09-11,11.07166667,12.89,0,4,0,11.155,11.095,18.7,2,0,9.89,12.91,19.62,17.78,0,1,1,11.07833333
2017-09-18,11.674,12.69,0,4,0,9.99,10.77,18.025,2,0,9.84,12.72,19.19,16.86,0,1,1,10.78230769
2017-09-25,11.332,13.8375,0,4,0,9.4525,11.08,19.605,2,0,9.29,12.91,17.96,21.25,0,1,1,10.93846154
2017-10-09,11.282,13.3825,6.99,4,1,9.35,10.855,18.735,2,6.99,9.68,12.84,17.55,19.92,1,1,1,10.87833333
2017-10-16,10.76833333,13.935,0,4,0,9.893333333,10.845,19.76,2,0,9.06,13.05,18.27,21.25,0,1,1,11.04769231
2017-10-23,11.478,13.54,0,4,0,11.02333333,10.645,18.865,2,0,9.28,11.84,18.11,19.62,0,1,1,10.83571429
2017-10-30,11.4,13.58333333,0,3,0,9.9225,8.81,19.155,2,0,9.28,0,18.84,19.47,0,1,1,10.68461538
2017-11-06,11.068,13.525,0,4,0,9.793333333,10.95,18.765,2,0,9.13,13.03,17.59,19.94,0,1,1,11.37727273
2017-11-13,11.22666667,12.8475,0,4,0,9.876666667,10.875,18.56,2,0,9.63,13.01,19.42,17.7,0,1,1,10.96384615
2017-11-20,10.928,14.355,0,4,0,9.996666667,10.755,20.23,2,0,9.26,13.1,17.87,22.59,0,1,1,10.96
2017-11-27,11.404,13.6375,0,4,0,9.886,11.27,19.45,2,0,9.51,13.11,18.01,20.89,0,1,1,10.89333333
