,REG_DATE,중국,페루,칠레c,자사제품제조용,판매용,냉동,"냉동,동체","냉동,동체,자숙","냉동,지느러미","중국,냉동c","칠레,냉동,다리c","칠레,냉동,지느러미c","중국,냉동h","페루,냉동,동체,자숙h","페루,냉동,지느러미h","중국,판매용","페루,판매용","판매용,냉동,다리c",P_PRICE
0,2015-12-28,0.79,3.355,3,,1.74,,1.246666667,5.48,0.76,,1,1,,5.48,,0.79,3.355,2,1.74
1,2016-01-04,,2.33,3,2.375,1.591666667,,1.02,4.475,0.64,,1,1,,8.95,0.6,,2.3,2,1.7875
2,2016-01-11,1.15,1.94,3,1.793333333,1.01,,1.045,3.74,0.755,,,2,,3.74,,1.15,1.15,1,1.345714286
3,2016-01-18,1.255,2.65,3,2.265,1.5275,,0.89,4.095,0.72,,1,1,,8.19,,1.255,3.035,2,1.675
4,2016-01-25,,2.9175,1,4.79,1.955,,0.94,5.005,0.6,,,,,10.01,0.6,,2.293333333,1,2.522
5,2016-02-01,2.346666667,2.71,2,2.67,2.01875,1.775,1.745,3.78,0.75,1,,1,1.7,8.48,,2.346666667,2.75,1,2.149
6,2016-02-15,2.97,4.13,4,2.235,2.05,,1.98,4.13,0.75,,1,2,,8.26,,2.97,4.64,1,2.102857143
7,2016-02-22,,2.226,3,2.7,1.601428571,,0.94,3.9,0.71,,1,1,,7.8,0.72,,2.1075,2,1.89
8,2016-02-29,2.66,4.645,3,3.59,2.194,,1.12,3.983333333,0.68,,1,1,,9.29,,2.66,5.7,1,2.426666667
9,2016-03-07,1.07,2.6425,2,2.44,1.938,1.07,1,4.06,0.56,1,,1,1.07,8.12,,,2.71,1,1.885714286
10,2016-03-14,0.67,2.906666667,1,2.43,1.9875,,0.83,4.09,0.54,,,,,8.18,0.54,0.67,3.145,,2.076
11,2016-03-21,1.775,3.78,3,3.26,1.851666667,,0.825,3.48,0.68,,1,1,,7.56,,1.775,4.3,1,2.052857143
12,2016-03-28,2.96,3.29,4,4.83,2.38125,,0.99,4.335,0.7,,1,1,,10.53,,2.96,2.776666667,2,2.653333333
13,2016-04-04,2.44,2.265,3,,1.621666667,,1.71,3.52,0.79,,1,1,,3.52,,2.44,2.265,2,1.621666667
14,2016-04-11,0.85,,3,,0.905,,0.89,,0.67,,1,1,,,,0.96,,1,0.872
15,2016-04-18,0.72,2.186666667,4,2.273333333,1.215,2.08,1.08,3.82,1.115,,,2,,3.82,,0.72,1.37,1,1.721
16,2016-04-25,1.495,3.69,3,3.69,1.168,2.15,0.945,3.69,0.78,1,1,1,2.15,3.69,,1.495,,1,1.588333333
17,2016-05-02,0.75,1.3,3,,0.846666667,0.4,0.865,,0.69,,1,1,,,,0.75,1.3,2,0.846666667
18,2016-05-09,1.626666667,2.5,4,1.64,1.285,1.42,0.905,2.615,0.74,1,1,2,1.42,2.5,,1.626666667,,1,1.37375
19,2016-05-16,3.56,2.5175,3,2.64,2.2575,,2.655,3.843333333,0.715,,1,1,,7.97,0.7,3.56,2.476666667,2,2.3
20,2016-05-23,,2.383333333,3,,1.658333333,,1.07,3.71,0.73,,1,1,,3.71,,,2.383333333,2,1.658333333
21,2016-05-30,1.22,3.48,3,3.48,1.05,,1.08,3.48,1.02,,1,1,,3.48,,1.22,,1,1.536
22,2016-06-06,0.9,1.33,3,,1.02,,1.005,,0.77,,1,1,,,,0.9,1.33,2,1.02
23,2016-06-13,1.83,2.42,4,,1.722857143,,1.475,2.945,0.79,,1,1,,3.44,,1.83,2.42,2,1.722857143
24,2016-06-20,1.23,,4,1.26,1.035,,1.11,,0.8,,2,1,,,,1.23,,2,1.08
25,2016-06-27,1.763333333,2.22,3,2.68,1.452857143,,1.26,2.895,0.84,,1,1,,3.11,,1.305,2.22,3,1.60625
26,2016-07-04,1.72,5.99,5,1.78,1.926666667,1.68,1.08,3.716666667,0.85,2,1,2,3.36,5.99,,1.4725,5.99,2,1.9
27,2016-07-11,0.92,2.5,3,2.5,0.972,,1,3.42,0.85,,1,1,,3.42,,0.92,,2,1.408571429
28,2016-07-18,1.06,3.7125,4,3.645,1.7125,1.55,1.035,5.795,0.996666667,,1,2,,11.59,,1.06,2.833333333,2,2.099
29,2016-07-25,,,4,,1.9475,,1.2,3.1,2.43,,1,1,,,,,,1,1.9475
30,2016-08-01,1.02,2.83,3,4.06,1.17,1.6,1.115,4.06,0.84,,1,1,,4.06,,1.02,1.6,1,1.651666667
31,2016-08-08,,3.2925,3,3.93,2.071666667,1.64,1.22,5.07,0.85,,1,1,,10.14,,,3.08,2,2.337142857
32,2016-08-15,1.705,2.507142857,3,2.406666667,1.865454545,1.65,1.085,4.66,0.896666667,,1,1,,11.46,1.81,1.705,2.5825,3,1.981428571
33,2016-08-22,,2.891666667,3,3.64,1.91,,1.21,6.13,0.906666667,,1,1,,12.26,1.85,,2.5175,2,2.294444444
34,2016-08-29,,4.843333333,6,4.32,2.165,,1.26,5.736666667,0.88,,2,1,,13.28,,,4.07,3,2.883333333
35,2016-09-05,,3.44,6,3.86,2.02,2.69,1.16,5.213333333,0.84,,2,1,,11.64,0.8,,2.893333333,3,2.521818182
36,2016-09-12,,3.32,4,3.41,1.584,,1.34,4.365,0.88,,1,1,,8.73,,,2.29,2,2.105714286
37,2016-09-19,1.16,3.45,4,4.79,1.97,,1.25,4.996666667,0.835,,1,1,,11.81,0.74,1.16,3.003333333,3,2.252
38,2016-09-26,,3.9625,6,3.946666667,2.18,1.77,1.23,5.59,0.95,,2,1,,12.97,,,3.403333333,3,2.71
39,2016-10-03,1.65,6.37,3,5.22,2.52,1.05,1.435,6.37,0.94,,1,1,,12.74,,1.65,7.52,1,2.695714286
40,2016-10-10,1.1,3.77,4,3.4,1.92125,1.5,1.22,6.555,0.943333333,,1,2,,13.11,0.81,1.1,3.143333333,3,2.217
41,2016-10-17,2.4,6.66,4,3.21,3.12,3.445,1.37,6.66,0.91,1,1,1,2.4,13.32,,2.4,8.4,1,3.1425
42,2016-10-24,1.43,3.9675,4,3.695,2.058571429,,1.24,7.26,0.93,,1,2,,14.52,0.81,1.43,3.19,3,2.422222222
43,2016-10-31,1.555,3.87,3,5.17,2.301111111,4.05,1.4,6.82,0.88,,1,1,,13.64,0.84,1.555,3.436666667,3,2.588
44,2016-11-07,2.72,4.005,3,,2.665714286,3.615,1.26,6.73,0.97,1,1,1,2.72,6.73,,2.72,4.005,2,2.665714286
45,2016-11-14,1.735,4.306666667,3,4.43,2.221,3.075,1.4,5.935,1.165,1,1,1,2.83,11.87,,1.735,4.245,3,2.421818182
46,2016-11-21,2.292,2.1375,6,2.39,1.75,2.71,1.6575,4.415,1.123333333,1,2,2,2.75,5.04,0.76,2.292,1.17,3,1.91
47,2016-11-28,2.405,5.33,3,3.66,2.530909091,2.776666667,1.64,4.58,1.175,2,1,1,5.71,10.66,,2.405,7,1,2.625
