REG_DATE,노르웨이,뉴질랜드,아이슬란드,아일랜드,영국,칠레,캐나다,호주,c노르웨이,c뉴질랜드,c아이슬란드,c아일랜드,c영국,c칠레,c캐나다,c호주,자사제품제조용,판매용,c자사제품제조용,c판매용,냉장,"냉장,포장횟감,필렛(F)","냉장,필렛(F)","냉장,필렛(F),횟감",c냉장,"c냉장,포장횟감,필렛(F)","c냉장,필렛(F)","c냉장,필렛(F),횟감",노르웨이 자사제품제조용,노르웨이 판매용,뉴질랜드 판매용,아이슬란드 판매용,아일랜드 판매용,영국 판매용,칠레 판매용,캐나다 판매용,호주 자사제품제조용,호주 판매용,c노르웨이 자사제품제조용,c노르웨이 판매용,c뉴질랜드 판매용,c아이슬란드 판매용,c아일랜드 판매용,c영국 판매용,c칠레 판매용,c캐나다 판매용,c호주 자사제품제조용,c호주 판매용,노르웨이 냉장,"노르웨이 냉장,포장횟감,필렛(F)","노르웨이 냉장,필렛(F)","노르웨이 냉장,필렛(F),횟감","뉴질랜드 냉장,포장횟감,필렛(F)",아이슬란드 냉장,아일랜드 냉장,영국 냉장,칠레 냉장,캐나다 냉장,호주 냉장,c노르웨이 냉장,"c노르웨이 냉장,포장횟감,필렛(F)","c노르웨이 냉장,필렛(F)","c노르웨이 냉장,필렛(F),횟감","c뉴질랜드 냉장,포장횟감,필렛(F)",c아이슬란드 냉장,c아일랜드 냉장,c영국 냉장,c칠레 냉장,c캐나다 냉장,c호주 냉장,노르웨이 자사제품제조용 냉장,"노르웨이 자사제품제조용 냉장,포장횟감,필렛(F)","노르웨이 자사제품제조용 냉장,필렛(F)",노르웨이 판매용 냉장,"노르웨이 판매용 냉장,포장횟감,필렛(F)","노르웨이 판매용 냉장,필렛(F)","노르웨이 판매용 냉장,필렛(F),횟감","뉴질랜드 판매용 냉장,포장횟감,필렛(F)",아이슬란드 판매용 냉장,아일랜드 판매용 냉장,영국 판매용 냉장,칠레 판매용 냉장,캐나다 판매용 냉장,호주 자사제품제조용 냉장,호주 판매용 냉장,c노르웨이 자사제품제조용 냉장,"c노르웨이 자사제품제조용 냉장,포장횟감,필렛(F)","c노르웨이 자사제품제조용 냉장,필렛(F)",c노르웨이 판매용 냉장,"c노르웨이 판매용 냉장,포장횟감,필렛(F)","c노르웨이 판매용 냉장,필렛(F)","c노르웨이 판매용 냉장,필렛(F),횟감","c뉴질랜드 판매용 냉장,포장횟감,필렛(F)",c아이슬란드 판매용 냉장,c아일랜드 판매용 냉장,c영국 판매용 냉장,c칠레 판매용 냉장,c캐나다 판매용 냉장,c호주 자사제품제조용 냉장,c호주 판매용 냉장,자사제품제조용 냉장,"자사제품제조용 냉장,포장횟감,필렛(F)","자사제품제조용 냉장,필렛(F)",판매용 냉장,"판매용 냉장,포장횟감,필렛(F)","판매용 냉장,필렛(F)","판매용 냉장,필렛(F),횟감",c자사제품제조용 냉장,"c자사제품제조용 냉장,포장횟감,필렛(F)","c자사제품제조용 냉장,필렛(F)",c판매용 냉장,"c판매용 냉장,포장횟감,필렛(F)","c판매용 냉장,필렛(F)","c판매용 냉장,필렛(F),횟감",WEEKCOUNT,두바이유,MONTH,MONTH_MEAN,P_PRICE
2015-12-28,13.28721226,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13.4258256,13.25255893,1,4,8.844281261,19.14675516,13.1813204,12.08238409,1,1,2,1,13.4258256,13.25255893,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,8.844281261,19.14675516,13.1813204,12.08238409,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,13.4258256,8.844281261,19.14675516,12.93681519,12.08238409,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13.4258256,8.844281261,19.14675516,12.93681519,12.08238409,0,0,1,1,1,1,1,5,34.58,12,14.65093357,13.28721226
2016-01-04,12.85386911,0,0,0,0,0,9.200743494,0,6,0,0,0,0,0,1,0,11.3631957,12.71951335,2,5,9.228892956,18.57777778,13.24855178,13.56239795,3,1,2,1,11.3631957,13.59920581,0,0,0,0,0,9.200743494,0,0,2,4,0,0,0,0,0,1,0,0,9.242967687,18.57777778,13.24855178,13.56239795,0,0,0,0,0,9.200743494,0,2,1,2,1,0,0,0,0,0,1,0,8.966240718,0,13.76015069,9.519694655,18.57777778,12.73695286,13.56239795,0,0,0,0,0,9.200743494,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,8.966240718,0,13.76015069,9.360219075,18.57777778,12.73695286,13.56239795,1,0,1,2,1,1,1,7,32.1,1,14.955954,12.33199402
2016-01-11,12.87651259,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12.67772135,12.97590821,2,4,9.110388765,14.60394603,15.19311495,14.04812207,2,1,2,1,12.67772135,12.97590821,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,9.110388765,14.60394603,15.19311495,14.04812207,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,8.846151029,0,16.50929168,9.3746265,14.60394603,13.87693822,14.04812207,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,8.846151029,0,16.50929168,9.3746265,14.60394603,13.87693822,14.04812207,1,0,1,1,1,1,1,6,27.86,1,14.955954,12.87651259
2016-01-18,13.38735009,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11.72237969,14.2198353,2,4,9.118254132,18.55349794,14.78016365,13.97376705,2,1,2,1,11.72237969,14.2198353,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,9.118254132,18.55349794,14.78016365,13.97376705,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,8.218035975,0,15.2267234,10.01847229,18.55349794,14.3336039,13.97376705,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,8.218035975,0,15.2267234,10.01847229,18.55349794,14.3336039,13.97376705,1,0,1,1,1,1,1,6,26.35,1,14.955954,13.38735009
2016-01-25,13.29178557,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13.46731927,13.24790215,1,4,8.891171102,18.34457323,13.21715949,12.78886456,1,1,2,1,13.46731927,13.24790215,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,8.891171102,18.34457323,13.21715949,12.78886456,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,13.46731927,8.891171102,18.34457323,12.9669997,12.78886456,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13.46731927,8.891171102,18.34457323,12.9669997,12.78886456,0,0,1,1,1,1,1,5,26.38,1,14.955954,13.29178557
2016-02-01,12.28899952,0,0,0,0,0,9.690026954,0,6,0,0,0,0,0,1,0,10.93597578,12.31041451,2,5,8.955270794,18.38884866,12.97821916,12.21292474,3,1,2,1,10.93597578,12.9655114,0,0,0,0,0,9.690026954,0,0,2,4,0,0,0,0,0,1,0,0,8.587892714,18.38884866,12.97821916,12.21292474,0,0,0,0,0,9.690026954,0,2,1,2,1,0,0,0,0,0,1,0,8.192024274,0,13.67992728,8.983761153,18.38884866,12.27651104,12.21292474,0,0,0,0,0,9.690026954,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,8.192024274,0,13.67992728,9.336894054,18.38884866,12.27651104,12.21292474,1,0,1,2,1,1,1,7,29.95,2,14.39166667,11.91771773
2016-02-08,12.85943711,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12.0872606,13.24552537,2,4,8.915882366,16.84262295,14.54694539,13.38834423,2,1,2,1,12.0872606,13.24552537,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,8.915882366,16.84262295,14.54694539,13.38834423,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,8.979061479,0,15.19545972,8.852703252,16.84262295,13.89843105,13.38834423,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,8.979061479,0,15.19545972,8.852703252,16.84262295,13.89843105,13.38834423,1,0,1,1,1,1,1,6,30.07,2,14.39166667,12.85943711
2016-02-15,13.17193063,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12.53642584,13.48968302,2,4,9.303787346,18.84930601,14.75105142,12.07260022,2,1,2,1,12.53642584,13.48968302,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,9.303787346,18.84930601,14.75105142,12.07260022,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,9.401485884,0,15.6713658,9.206088807,18.84930601,13.83073704,12.07260022,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,9.401485884,0,15.6713658,9.206088807,18.84930601,13.83073704,12.07260022,1,0,1,1,1,1,1,6,28.94,2,14.39166667,13.17193063
2016-02-22,13.19434098,0,0,0,0,0,9.521968366,0,6,0,0,0,0,0,1,0,12.112075,12.89277285,2,5,9.570416867,17.90883824,14.3775976,13.31273018,3,1,2,1,12.112075,13.73547397,0,0,0,0,0,9.521968366,0,0,2,4,0,0,0,0,0,1,0,0,9.594641118,17.90883824,14.3775976,13.31273018,0,0,0,0,0,9.521968366,0,2,1,2,1,0,0,0,0,0,1,0,9.501439095,0,14.7227109,9.68784314,17.90883824,14.03248431,13.31273018,0,0,0,0,0,9.521968366,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,9.501439095,0,14.7227109,9.604905753,17.90883824,14.03248431,13.31273018,1,0,1,2,1,1,1,7,29.56,2,14.39166667,12.66971632
2016-02-29,13.55724208,0,0,0,0,0,9.795548654,0,6,0,0,0,0,0,1,0,12.3478517,13.28865955,2,5,10.02450887,17.60904381,14.64839231,14.15964609,3,1,2,1,12.3478517,14.16193727,0,0,0,0,0,9.795548654,0,0,2,4,0,0,0,0,0,1,0,0,10.13898898,17.60904381,14.64839231,14.15964609,0,0,0,0,0,9.795548654,0,2,1,2,1,0,0,0,0,0,1,0,9.899626992,0,14.79607641,10.37835096,17.60904381,14.50070822,14.15964609,0,0,0,0,0,9.795548654,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,9.899626992,0,14.79607641,10.08694981,17.60904381,14.50070822,14.15964609,1,0,1,2,1,1,1,7,29.3,2,14.39166667,13.01985731
