REG_DATE,뉴질랜드,대만,러시아,미국,베트남,스페인,아르헨티나,에콰도르,우루과이,인도네시아,중국,칠레,캐나다,페루,뉴질랜드c,대만c,러시아c,미국c,베트남c,스페인c,아르헨티나c,에콰도르c,우루과이c,인도네시아c,중국c,칠레c,캐나다c,페루c,외화획득용,자사제품제조용,판매용,외화획득용 c,자사제품제조용c,판매용c,냉동,"냉동,다리","냉동,동체","냉동,동체,자숙","냉동,슬라이스(S)","냉동,지느러미","냉동,지느러미,자숙",냉동c,"냉동,다리c","냉동,동체c","냉동,동체,자숙c","냉동,슬라이스(S)c","냉동,지느러미c","냉동,지느러미,자숙c","대만,뉴질랜드,러시아,냉동c","미국,인도네시아,에콰도르,우루과이,에콰도르,베트남,스페인,냉동c","아르헨티나,냉동c","중국,냉동c","중국,인도네시아,냉동,다리c","중국,냉동,동체c","중국,칠레,냉동,동체,자숙c","중국,인도네시아,냉동,슬라이스(S)c","중국,인도네시아,러시아,냉동,지느러미c","칠레,페루,냉동c","칠레,냉동,다리c","칠레,냉동,동체c","칠레,냉동,지느러미c","캐나다,냉동c","페루,냉동,다리c","페루,냉동,동체c","페루,냉동,동체,자숙c","페루,냉동,지느러미c","페루,칠레,냉동,지느러미,자숙c","뉴질랜드,우루과이,냉동h","대만,러시아.베트남,스페인,냉동h","미국,캐나다,냉동h","아르헨티나,냉동h","에콰도르,냉동h","인도네시아,냉동h","중국,냉동h","중국,대만,아르헨티나,에콰도르,냉동,다리h","중국,냉동,동체h","중국,칠레,냉동,동체,자숙h","중국,냉동,지느러미h","칠레,페루,냉동h","칠레,냉동,다리h","칠레,냉동,동체h","칠레,냉동,지느러미h","페루,냉동,다리h","페루,냉동,동체h","페루,냉동,동체,자숙h","페루,냉동,지느러미h","뉴질랜드,외화획득용 제품","뉴질랜드,판매용","대만,외화획득용 원료","대만,판매용","러시아,판매용","미국,외화획득용 원료","미국,판매용","베트남,판매용","스페인,외화획득용 원료","스페인,판매용","아르헨티나,외화획득용 원료","아르헨티나,외화획득용 제품","아르헨티나,판매용","에콰도르,판매용","우루과이,판매용","인도네시아,판매용","중국,외화획득용 원료","중국,자사제품제조용","중국,판매용","칠레,외화획득용 원료","칠레,자사제품제조용","칠레,판매용","캐나다,판매용","페루,자사제품제조용","페루,판매용","뉴질랜드,외화획득용 제품c","뉴질랜드,판매용c","대만,외화획득용 원료c","대만,판매용c","러시아,판매용c","미국,외화획득용 원료c","미국,판매용c","베트남,판매용c","스페인,외화획득용 원료c","스페인,판매용c","아르헨티나,외화획득용 제품c","아르헨티나,판매용c","에콰도르,판매용c","우루과이,판매용c","인도네시아,판매용c","중국,외화획득용 원료c","중국,자사제품제조용c","중국,판매용c","칠레,외화획득용 원료c","칠레,자사제품제조용c","칠레,판매용c","캐나다,판매용c","페루,자사제품제조용c","페루,판매용c",외화획득용 냉동c,"자사제품제조용,냉동c","자사제품제조용,냉동,다리c","자사제품제조용,냉동,동체c","자사제품제조용,냉동,동체,자숙c","자사제품제조용,냉동,지느러미c","판매용,냉동c","판매용,냉동,다리c","판매용,냉동,동체c","판매용,냉동,동체,자숙c","판매용,냉동,슬라이스(S)c","판매용,냉동,지느러미c","판매용,냉동,지느러미,자숙c",두바이유,MONTH,MONTH_MEAN,CTRY_DIF,P_PRICE
2015-12-28,0,1.99,0,0,0,0,0,0,0,0,0.79,0.896666667,0,3.355,0,1,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1.74,0,0,7,0,1.1,1.246666667,5.48,0,0.76,0,0,2,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0.97,0.96,0.76,1.23,0,5.48,0,0,0,0,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0.896666667,0,0,3.355,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,2,3,1,0,1,0,34.58,12,2.744095862,0,1.74
2016-01-04,0,0,0,0,0,0,0,0,0,0,0,0.883333333,0,2.33,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,2.375,1.591666667,0,2,6,0,1.016666667,1.02,4.475,0,0.64,0,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,1.02,0.68,2.1,0,8.95,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883333333,0,2.375,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,1,0,1,0,0,2,1,1,0,2,0,32.1,1,2.677691226,0,1.7875
2016-01-11,0,0,0,0,0,0,0,0,0,0,1.15,0.816666667,0,1.94,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,1.793333333,1.01,0,3,4,0,1.04,1.045,3.74,0,0.755,0,0,2,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0.94,1.51,2.08,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0.71,0.87,0,2.335,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,0,1,0,1,1,0,1,2,0,0,1,0,27.86,1,2.677691226,0,1.345714286
2016-01-18,0,0.95,0,0,0,0,0,0,0,0,1.255,0.896666667,0,2.65,0,1,0,0,0,0,0,0,0,0,2,3,0,4,0,2.265,1.5275,0,2,8,0,1.14,0.89,4.095,1.75,0.72,0,0,3,3,2,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1.71,0,0,0,1.01,0.96,0.72,2.41,0,8.19,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.255,0,0,0.896666667,0,2.265,3.035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,2,0,0,1,0,1,0,0,2,3,1,1,1,0,26.35,1,2.677691226,0,1.675
2016-01-25,0,0,0,0,0,0,0,0,0,0,0,0.94,0,2.9175,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4.79,1.955,0,1,4,0,1.06,0.94,5.005,0,0.6,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,1.06,0,10.01,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,4.79,2.293333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,1,1,1,0,1,0,26.38,1,2.677691226,1,2.522
2016-02-01,0,1.85,0,0,0,0,0,0,0,0,2.346666667,0.88,0,2.71,0,1,0,0,0,0,0,0,0,0,3,2,0,4,0,2.67,2.01875,0,2,8,1.775,1.18,1.745,3.78,0,0.75,0,2,2,2,3,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,2,0,2,0,0,0,1.85,0,0,0,0,1.7,0,2.48,2.86,0,0,0,1.01,0.75,2.36,0,8.48,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.346666667,0,0,0.88,0,2.67,2.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,1,0,1,0,2,1,2,2,0,1,0,29.95,2,2.913185476,1,2.149
2016-02-15,0,0,0,0,0,0,0,0,0,0,2.97,0.8725,0,4.13,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,2.235,2.05,0,2,5,0,1,1.98,4.13,0,0.75,0,0,1,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,1,0.99,1.5,0,0,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0.85,0.88,0,3.62,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,1,0,0,0,0,1,1,0,1,2,1,0,1,0,28.94,2,2.913185476,0,2.102857143
2016-02-22,0,0,0,0,0,0,3.1,0,0,0,0,0.926666667,0,2.226,0,0,0,0,0,0,1,0,0,0,0,3,0,5,3.1,2.7,1.601428571,1,1,7,0,1.816666667,0.94,3.9,0,0.71,1.4,0,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,3.1,0,0,0,0,1.14,0.94,0.7,1.21,0,7.8,0.72,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0.926666667,0,2.7,2.1075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,1,0,0,2,1,1,0,2,1,29.56,2,2.913185476,1,1.89
2016-02-29,0,0,0,0,0,0,0,0,0,0,2.66,0.87,0,4.645,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,3.59,2.194,0,1,5,0,0.81,1.12,3.983333333,0,0.68,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0.81,1.12,0.68,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,0,0,0.87,0,3.59,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,1,0,0,1,1,2,0,1,0,29.3,2,2.913185476,0,2.426666667
2016-03-07,0,0,0,0,0,0,0,0,0,0,1.07,0.78,0,2.6425,0,0,0,0,0,0,0,0,0,0,1,2,0,4,1.07,2.44,1.938,1,1,5,1.07,1.25,1,4.06,0,0.56,1.2,1,1,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1,0.56,1.25,0,8.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0.78,0,2.44,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,3,1,0,0,0,1,0,0,1,1,1,0,1,1,35.37,3,2.811885022,0,1.885714286
