reg_date,vietnam_p,"freeze,boneless_p","freeze,boneless,boil,pack_p","freeze,boneless,boil,pack_c","vietnam_freeze,boneless,boil,pack_p","thailand_freeze,boneless,boil,pack_p","vietnam_freeze,boneless,boil,pack_c","thailand_freeze,boneless,boil,pack_c",p_price
2016-07-04,10.15,8.12,19.345,2,16.19,22.5,1,1,10.98875
2016-07-11,11.288,8.8575,16.34,1,16.34,0,1,0,9.633846154
2016-07-18,10.128,10.3,18.265,2,16.91,19.62,1,1,10.946
2016-07-25,10.866,9.3975,18.28,1,18.28,0,1,0,9.624166667
2016-08-01,11.068,11.5,15.27,1,15.27,0,1,0,10.427
2016-08-08,10.156,8.71,18,2,15.8,20.2,1,1,9.973333333
2016-08-15,10.628,9.96,16.73,1,16.73,0,1,0,10.22888889
2016-08-22,8.7725,9.866666667,20.27,1,0,20.27,0,1,10.519
2016-08-29,10.472,9.453333333,16.43,1,16.43,0,1,0,9.574
2016-09-05,10.882,9.3775,16.01,1,16.01,0,1,0,9.690833333
2016-09-12,8.5025,7.5,20.34,1,0,20.34,0,1,9.684285714
2016-09-19,10.752,7.77,18.9075,2,17,20.815,1,1,10.16954545
2016-09-26,10.82,9.86,18.935,2,16.58,21.29,1,1,11.516
2016-10-03,9.655,9.503333333,0,0,0,0,0,0,9.144
2016-10-10,10.27,8.32,15.95,2,16.05,15.85,1,1,9.380666667
2016-10-17,10.236,7.82,18.0125,2,16.44,19.585,1,1,9.943181818
2016-10-24,11.03,8.8125,19.18,1,19.18,0,1,0,9.46
2016-10-31,10.79,8.79,17.47,1,17.47,0,1,0,9.425555556
2016-11-07,10.474,9.893333333,19.67,2,16.02,23.32,1,1,10.91461538
2016-11-14,10.906,10.01666667,15.89,1,15.89,0,1,0,10.526
2016-11-21,10.874,9.536666667,17.265,2,17.19,17.34,1,1,10.10166667
2016-11-28,10.69,9.556666667,20.47,2,16.64,24.3,1,1,11.884
2016-12-05,10.4725,9.5475,19.965,2,17.21,22.72,1,1,10.70909091
2016-12-12,11.216,10.03666667,19.575,2,16.96,22.19,1,1,10.82642857
2016-12-19,10.02,10.975,19.06,2,16.93,21.19,1,1,10.8625
2016-12-26,10.648,9.58,16.9,1,16.9,0,1,0,10.04083333
2017-01-01,10.1075,7.92,16.47,1,16.47,0,1,0,8.818571429
2017-01-06,11.072,9.115,19.305,2,18.42,20.19,1,1,10.29857143
2017-01-16,10.8275,9.41,0,0,0,0,0,0,9.476
2017-01-23,11.21,8.38,18.11,1,18.11,0,1,0,10.20571429
2017-01-30,10.68,9.606666667,16.895,2,17.32,16.47,1,1,10.4225
2017-02-06,10.656,9.836666667,18.84,1,18.84,0,1,0,9.713
